project_key,project_url,project_type,languages,complexoty,bugs,code_smell,ncloc,violations
vohuynhquangnguyen_research.informationsystem.elpv,https://github.com/vohuynhquangnguyen/research.informationsystem.elpv,github,py|,71,2,43,444,45
w4bo_iam-demo,https://github.com/w4bo/iam-demo,github,js|json|kotlin|py|web|yaml|,566,3,173,4008,176
w4bo_welaser,https://github.com/w4bo/welaser,github,css|js|json|kotlin|py|web|xml|yaml|,410,1,56,3863,57
w4bo_explain,https://github.com/w4bo/explain,github,js|json|kotlin|py|web|yaml|,566,3,173,4008,176
walt-id_waltid-ssikit,https://github.com/walt-id/waltid-ssikit,github,json|kotlin|py|yaml|,1889,0,372,18597,372
wangyendt_LeetCode,https://github.com/wangyendt/LeetCode,github,py|,7532,0,2586,24557,2586
wazo-platform_wazo-calld,https://github.com/wazo-platform/wazo-calld,github,json|py|yaml|,3416,0,173,29610,174
wazo-platform_wazo-confd,https://github.com/wazo-platform/wazo-confd,github,py|yaml|,8018,7,217,59669,225
wazo-platform_wazo-provd,https://github.com/wazo-platform/wazo-provd,github,json|py|yaml|,1633,0,110,7691,110
wazo-platform_wazo-chatd,https://github.com/wazo-platform/wazo-chatd,github,py|yaml|,752,0,18,6702,18
wheresalice_everystop,https://github.com/wheresalice/everystop,github,py|,2,0,0,107,0
www-splitcells-net_net.splitcells.network,https://github.com/www-splitcells-net/net.splitcells.network,github,css|java|js|py|web|xml|,5034,33,1482,39961,1515
xcist_main,https://github.com/xcist/main,github,json|py|,385,0,93,2162,93
Yusuf-Manjra_traccc,https://github.com/Yusuf-Manjra/traccc,github,c|cpp|css|js|json|objc|php|plsql|py|ts|web|xml|yaml|,34239,152,25899,785325,26051
Yusuf-Manjra_acts,https://github.com/Yusuf-Manjra/acts,github,c|cpp|css|py|xml|yaml|,6043,20,2856,150764,2876
Yusuf-Manjra_SixTrack,https://github.com/Yusuf-Manjra/SixTrack,github,c|cpp|cs|php|plsql|py|web|xml|,4447,321,2659,48494,2980
telegram-pdf-bot,https://github.com/zeshuaro/telegram-pdf-bot,github,py|,399,0,24,3953,24
zimmerman-zimmerman_iati.cloud,https://github.com/zimmerman-team/IATI.cloud,github,css|js|json|py|ruby|web|xml|,5827,313,1433,180535,1746
Zondax_ledger-zcash,https://github.com/Zondax/ledger-zcash,github,c|cpp|js|json|py|ts|,811,2,310,7706,312
Zondax_ledger-icp,https://github.com/Zondax/ledger-icp,github,c|cpp|js|json|py|ts|,2010,18,377,21375,395
ZorrillosDev_watchit-toolkit,https://github.com/ZorrillosDev/watchit-toolkit,github,js|json|py|yaml|,485,3,59,3048,63
